Date,SKU Code,Quantity Sold,Category,Cost per Unit,Selling Price,Revenue
2026-02-08 16:33:11.184966,SKU1,2,Sports,46.17,84.33,168.66
2026-02-09 16:33:11.184966,SKU1,6,Sports,46.17,84.33,505.98
2026-02-10 16:33:11.184966,SKU1,7,Sports,46.17,84.33,590.31
2026-02-11 16:33:11.184966,SKU1,6,Sports,46.17,84.33,505.98
2026-02-12 16:33:11.184966,SKU1,7,Sports,46.17,84.33,590.31
2026-02-13 16:33:11.184966,SKU1,2,Sports,46.17,84.33,168.66
2026-02-14 16:33:11.184966,SKU1,5,Sports,46.17,84.33,421.65
2026-02-15 16:33:11.184966,SKU1,5,Sports,46.17,84.33,421.65
2026-02-16 16:33:11.184966,SKU1,5,Sports,46.17,84.33,421.65
2026-02-17 16:33:11.184966,SKU1,7,Sports,46.17,84.33,590.31
2026-02-18 16:33:11.184966,SKU1,9,Sports,46.17,84.33,758.97
2026-02-19 16:33:11.184966,SKU1,1,Sports,46.17,84.33,84.33
2026-02-20 16:33:11.184966,SKU1,5,Sports,46.17,84.33,421.65
2026-02-21 16:33:11.184966,SKU1,7,Sports,46.17,84.33,590.31
2026-02-22 16:33:11.184966,SKU1,5,Sports,46.17,84.33,421.65
2026-02-23 16:33:11.184966,SKU1,7,Sports,46.17,84.33,590.31
2026-02-24 16:33:11.184966,SKU1,1,Sports,46.17,84.33,84.33
2026-02-25 16:33:11.184966,SKU1,3,Sports,46.17,84.33,252.99
2026-02-26 16:33:11.184966,SKU1,2,Sports,46.17,84.33,168.66
2026-02-27 16:33:11.184966,SKU1,8,Sports,46.17,84.33,674.64
2026-02-28 16:33:11.184966,SKU1,1,Sports,46.17,84.33,84.33
2026-03-01 16:33:11.184966,SKU1,6,Sports,46.17,84.33,505.98
2026-03-02 16:33:11.184966,SKU1,5,Sports,46.17,84.33,421.65
2026-03-03 16:33:11.184966,SKU1,5,Sports,46.17,84.33,421.65
2026-03-04 16:33:11.184966,SKU1,3,Sports,46.17,84.33,252.99
2026-03-05 16:33:11.184966,SKU1,4,Sports,46.17,84.33,337.32
2026-03-06 16:33:11.184966,SKU1,4,Sports,46.17,84.33,337.32
2026-03-07 16:33:11.184966,SKU1,4,Sports,46.17,84.33,337.32
2026-03-08 16:33:11.184966,SKU1,4,Sports,46.17,84.33,337.32
2026-03-09 16:33:11.184966,SKU1,7,Sports,46.17,84.33,590.31
2026-02-08 16:33:11.184966,SKU2,7,Beauty,43.25,90.87,636.09
2026-02-09 16:33:11.184966,SKU2,9,Beauty,43.25,90.87,817.83
2026-02-10 16:33:11.184966,SKU2,2,Beauty,43.25,90.87,181.74
2026-02-11 16:33:11.184966,SKU2,5,Beauty,43.25,90.87,454.35
2026-02-12 16:33:11.184966,SKU2,4,Beauty,43.25,90.87,363.48
2026-02-13 16:33:11.184966,SKU2,2,Beauty,43.25,90.87,181.74
2026-02-14 16:33:11.184966,SKU2,5,Beauty,43.25,90.87,454.35
2026-02-15 16:33:11.184966,SKU2,7,Beauty,43.25,90.87,636.09
2026-02-16 16:33:11.184966,SKU2,4,Beauty,43.25,90.87,363.48
2026-02-17 16:33:11.184966,SKU2,10,Beauty,43.25,90.87,908.7
2026-02-18 16:33:11.184966,SKU2,4,Beauty,43.25,90.87,363.48
2026-02-19 16:33:11.184966,SKU2,6,Beauty,43.25,90.87,545.22
2026-02-20 16:33:11.184966,SKU2,4,Beauty,43.25,90.87,363.48
2026-02-21 16:33:11.184966,SKU2,5,Beauty,43.25,90.87,454.35
2026-02-22 16:33:11.184966,SKU2,4,Beauty,43.25,90.87,363.48
2026-02-23 16:33:11.184966,SKU2,7,Beauty,43.25,90.87,636.09
2026-02-24 16:33:11.184966,SKU2,4,Beauty,43.25,90.87,363.48
2026-02-25 16:33:11.184966,SKU2,2,Beauty,43.25,90.87,181.74
2026-02-26 16:33:11.184966,SKU2,3,Beauty,43.25,90.87,272.61
2026-02-27 16:33:11.184966,SKU2,5,Beauty,43.25,90.87,454.35
2026-02-28 16:33:11.184966,SKU2,4,Beauty,43.25,90.87,363.48
2026-03-01 16:33:11.184966,SKU2,5,Beauty,43.25,90.87,454.35
2026-03-02 16:33:11.184966,SKU2,3,Beauty,43.25,90.87,272.61
2026-03-03 16:33:11.184966,SKU2,6,Beauty,43.25,90.87,545.22
2026-03-04 16:33:11.184966,SKU2,4,Beauty,43.25,90.87,363.48
2026-03-05 16:33:11.184966,SKU2,2,Beauty,43.25,90.87,181.74
2026-03-06 16:33:11.184966,SKU2,3,Beauty,43.25,90.87,272.61
2026-03-07 16:33:11.184966,SKU2,6,Beauty,43.25,90.87,545.22
2026-03-08 16:33:11.184966,SKU2,7,Beauty,43.25,90.87,636.09
2026-03-09 16:33:11.184966,SKU2,1,Beauty,43.25,90.87,90.87
2026-02-08 16:33:11.184966,SKU3,2,Home,25.23,33.0,66.0
2026-02-09 16:33:11.184966,SKU3,4,Home,25.23,33.0,132.0
